                                          银河期货有限公司
                                                                                  制表时间 Creation Date：20220401
----------------------------------------------------------------------------------------------------
                                           交易结算单(盯市)Settlement Statement(MTM)
客户号 Client ID:  699099                客户名称 Client Name:上海久铭投资管理有限公司
日期 Date:20220401                                                                               


                                        资金状况  币种：人民币 Account Summary  Currency:CNY
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f:                     49392.00       基础保证金 Initial Margin:                    1.00
出 入 金 Deposit/Withdrawal:                  0.00       期末结存 Balance c/f:                     49392.00
平仓盈亏 Realized P/L:                        0.00       质 押 金 Pledge Amount:                       0.00
持仓盯市盈亏 MTM P/L:                         0.00       客户权益 Client Equity:                   49392.00
期权执行盈亏 Exercise P/L:                    0.00       货币质押保证金占用 FX Pledge Occ.:            0.00
手 续 费 Commission:                          0.00       保证金占用 Margin Occupied:                   0.00
行权手续费 Exercise Fee:                      0.00       交割保证金 Delivery Margin:                   0.00
交割手续费： Delivery Fee:                    0.00       多头期权市值 market value(long):        1786700.00
货币质入 New FX Pledge:                       0.00       空头期权市值 market value(short):             0.00
货币质出 FX Redemption:                       0.00       市值权益 market value(equity):          1836092.00
质押变化金额 Chg in Pledge Amt:               0.00       可用资金 Fund Avail.:                     49392.00
权利金收入 premium received:                  0.00       风 险 度 Risk Degree:                         0.00%
权利金支出 premium paid:                      0.00       应追加资金 Margin Call:                       0.00
货币质押变化金额 Chg in FX Pledge:            0.00
                                                                           持仓明细 Positions Detail
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   交易所   |      品种      |      合约      |开仓日期 |    投/保    |买/卖| 持仓量|    开仓价     |  昨结算  |     结算价     |  浮动盈亏  |  盯市盈亏 |   保证金   |       期权市值       |
|  Exchange  |     Product    |   Instrument   |Open Date|     S/H     | B/S |Positon|Pos. Open Price|Prev. Sttl|Settlement Price| Accum. P/L |  MTM P/L  |   Margin   | Market Value(Options)|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|中金所      |股指期权        |IO2206-P-3500   |20220316 |交易         |买   |      1|         95.600|    16.800|          12.600|        0.00|       0.00|        0.00|               1260.00|
|中金所      |股指期权        |IO2206-P-3500   |20220316 |交易         |买   |      1|         95.600|    16.800|          12.600|        0.00|       0.00|        0.00|               1260.00|
|中金所      |股指期权        |IO2206-P-3500   |20220316 |交易         |买   |      2|         95.800|    16.800|          12.600|        0.00|       0.00|        0.00|               2520.00|
|中金所      |股指期权        |IO2206-P-3500   |20220322 |交易         |买   |      6|         19.200|    16.800|          12.600|        0.00|       0.00|        0.00|               7560.00|
|中金所      |股指期权        |IO2206-P-3500   |20220322 |交易         |买   |      6|         19.400|    16.800|          12.600|        0.00|       0.00|        0.00|               7560.00|
|中金所      |股指期权        |IO2206-P-3500   |20220322 |交易         |买   |      3|         19.400|    16.800|          12.600|        0.00|       0.00|        0.00|               3780.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        114.400|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        113.000|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        112.400|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      1|        112.400|    22.400|          17.000|        0.00|       0.00|        0.00|               1700.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      1|        119.400|    22.400|          17.000|        0.00|       0.00|        0.00|               1700.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      2|        119.400|    22.400|          17.000|        0.00|       0.00|        0.00|               3400.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        118.800|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        118.200|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      1|        118.200|    22.400|          17.000|        0.00|       0.00|        0.00|               1700.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      1|        113.200|    22.400|          17.000|        0.00|       0.00|        0.00|               1700.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      2|        113.200|    22.400|          17.000|        0.00|       0.00|        0.00|               3400.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        113.600|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      4|        113.600|    22.400|          17.000|        0.00|       0.00|        0.00|               6800.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        118.600|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      3|        116.800|    22.400|          17.000|        0.00|       0.00|        0.00|               5100.00|
|中金所      |股指期权        |IO2206-P-3600   |20220316 |交易         |买   |      1|        118.400|    22.400|          17.000|        0.00|       0.00|        0.00|               1700.00|
|中金所      |股指期权        |IO2206-P-3600   |20220322 |交易         |买   |      5|         25.600|    22.400|          17.000|        0.00|       0.00|        0.00|               8500.00|
|中金所      |股指期权        |IO2206-P-3600   |20220322 |交易         |买   |      1|         25.600|    22.400|          17.000|        0.00|       0.00|        0.00|               1700.00|
|中金所      |股指期权        |IO2206-P-3600   |20220322 |交易         |买   |      4|         25.800|    22.400|          17.000|        0.00|       0.00|        0.00|               6800.00|
|中金所      |股指期权        |IO2206-P-3600   |20220322 |交易         |买   |      5|         25.800|    22.400|          17.000|        0.00|       0.00|        0.00|               8500.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      2|         72.800|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      2|         71.800|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      2|         71.200|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      1|         71.200|    31.200|          23.000|        0.00|       0.00|        0.00|               2300.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      2|         71.200|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      2|         82.600|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      2|         82.600|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      1|         82.400|    31.200|          23.000|        0.00|       0.00|        0.00|               2300.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      1|         82.400|    31.200|          23.000|        0.00|       0.00|        0.00|               2300.00|
|中金所      |股指期权        |IO2206-P-3700   |20220315 |交易         |买   |      3|         82.600|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      3|         59.000|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      2|         59.000|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      3|         59.800|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      2|         59.800|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      4|         50.800|    31.200|          23.000|        0.00|       0.00|        0.00|               9200.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      1|         50.800|    31.200|          23.000|        0.00|       0.00|        0.00|               2300.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      3|         51.000|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      2|         51.000|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      5|         57.600|    31.200|          23.000|        0.00|       0.00|        0.00|              11500.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      3|         56.800|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220318 |交易         |买   |      2|         57.000|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220321 |交易         |买   |      3|         46.400|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220321 |交易         |买   |      3|         46.400|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220321 |交易         |买   |      3|         48.400|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220321 |交易         |买   |      2|         49.000|    31.200|          23.000|        0.00|       0.00|        0.00|               4600.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         41.000|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         39.000|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         39.000|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         39.200|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         45.200|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         44.800|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         45.200|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3700   |20220322 |交易         |买   |      3|         44.800|    31.200|          23.000|        0.00|       0.00|        0.00|               6900.00|
|中金所      |股指期权        |IO2206-P-3800   |20220314 |交易         |买   |      3|         75.800|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220314 |交易         |买   |      3|         76.600|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220314 |交易         |买   |      3|         76.600|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      3|         93.600|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      3|         96.400|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      3|        109.000|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      3|        110.200|    43.200|          34.400|        0.00|       0.00|        0.00|              10320.00|
|中金所      |股指期权        |IO2206-P-3800   |20220315 |交易         |买   |      1|        112.800|    43.200|          34.400|        0.00|       0.00|        0.00|               3440.00|
